target,lag,pair
target_40,1,LME_CA_Close - US_Stock_HL_adj_close
target_41,1,LME_ZS_Close - US_Stock_TECK_adj_close
target_42,1,US_Stock_ALB_adj_close - LME_AH_Close
target_43,1,FX_ZARGBP - LME_AH_Close
target_44,1,JPX_Gold_Standard_Futures_Close - FX_NOKGBP
target_45,1,LME_CA_Close - FX_NOKEUR
target_46,1,US_Stock_EEM_adj_close - LME_PB_Close
target_47,1,US_Stock_DE_adj_close - LME_CA_Close
target_48,1,LME_CA_Close - US_Stock_EWZ_adj_close
target_49,1,LME_PB_Close - US_Stock_STLD_adj_close
target_50,1,US_Stock_SLB_adj_close - JPX_Gold_Standard_Futures_Close
target_51,1,JPX_Gold_Standard_Futures_Close - US_Stock_AMP_adj_close
target_52,1,US_Stock_CAT_adj_close - JPX_Gold_Standard_Futures_Close
target_53,1,US_Stock_EOG_adj_close - LME_AH_Close
target_54,1,US_Stock_TIP_adj_close - JPX_Platinum_Standard_Futures_Close
target_55,1,LME_ZS_Close - US_Stock_MS_adj_close
target_56,1,FX_NZDUSD - LME_ZS_Close
target_57,1,JPX_Platinum_Standard_Futures_Close - US_Stock_JNK_adj_close
target_58,1,US_Stock_ENB_adj_close - JPX_Gold_Standard_Futures_Close
target_59,1,JPX_Gold_Standard_Futures_Close - US_Stock_VXUS_adj_close
target_60,1,LME_AH_Close - FX_NOKCHF
target_61,1,LME_AH_Close - US_Stock_BNDX_adj_close
target_62,1,JPX_Gold_Standard_Futures_Close - US_Stock_HES_adj_close
target_63,1,US_Stock_COP_adj_close - JPX_Gold_Standard_Futures_Close
target_64,1,FX_CADJPY - LME_AH_Close
target_65,1,US_Stock_OXY_adj_close - LME_ZS_Close
target_66,1,US_Stock_RSP_adj_close - JPX_Platinum_Standard_Futures_Close
target_67,1,JPX_Gold_Standard_Futures_Close - US_Stock_HAL_adj_close
target_68,1,FX_EURUSD - JPX_Gold_Standard_Futures_Close
target_69,1,LME_CA_Close - FX_NZDCHF
target_70,1,FX_USDCHF - JPX_Gold_Standard_Futures_Close
target_71,1,FX_EURNZD - JPX_Gold_Standard_Futures_Close
target_72,1,LME_AH_Close - US_Stock_TD_adj_close
target_73,1,LME_CA_Close - US_Stock_RY_adj_close
target_74,1,FX_ZAREUR - LME_CA_Close
target_75,1,LME_ZS_Close - US_Stock_XLB_adj_close
target_76,1,LME_ZS_Close - FX_EURGBP
target_77,1,LME_PB_Close - US_Stock_VALE_adj_close
target_78,1,US_Stock_CLF_adj_close - JPX_Platinum_Standard_Futures_Close
target_79,1,LME_ZS_Close - US_Stock_DVN_adj_close
target_80,1,JPX_Gold_Standard_Futures_Close - US_Stock_ACWI_adj_close
target_81,1,FX_GBPUSD - JPX_Gold_Standard_Futures_Close
target_82,1,JPX_Gold_Standard_Futures_Close - US_Stock_X_adj_close
target_83,1,US_Stock_MPC_adj_close - LME_PB_Close
target_84,1,FX_NOKJPY - LME_ZS_Close
target_85,1,JPX_Gold_Standard_Futures_Close - US_Stock_CVE_adj_close
target_86,1,LME_AH_Close - FX_EURCHF
target_87,1,FX_EURJPY - LME_ZS_Close
target_88,1,LME_AH_Close - US_Stock_NEM_adj_close
target_89,1,LME_AH_Close - FX_GBPNZD
target_90,1,US_Stock_LYB_adj_close - LME_AH_Close
target_91,1,US_Stock_NUE_adj_close - LME_AH_Close
target_92,1,JPX_Platinum_Standard_Futures_Close - US_Stock_EFA_adj_close
target_93,1,LME_AH_Close - US_Stock_XLE_adj_close
target_94,1,US_Stock_EWJ_adj_close - LME_AH_Close
target_95,1,LME_AH_Close - US_Stock_TRGP_adj_close
target_96,1,US_Stock_EWT_adj_close - LME_PB_Close
target_97,1,LME_PB_Close - US_Stock_WMB_adj_close
target_98,1,LME_CA_Close - US_Stock_XOM_adj_close
target_99,1,JPX_Gold_Standard_Futures_Close - US_Stock_KMI_adj_close
target_100,1,US_Stock_SCCO_adj_close - LME_AH_Close
target_101,1,JPX_Platinum_Standard_Futures_Close - FX_AUDUSD
target_102,1,LME_ZS_Close - US_Stock_IEF_adj_close
target_103,1,US_Stock_SPYV_adj_close - LME_CA_Close
target_104,1,US_Stock_WPM_adj_close - JPX_Gold_Standard_Futures_Close
target_105,1,US_Stock_IAU_adj_close - LME_CA_Close
target_106,2,US_Stock_VXUS_adj_close
target_107,2,LME_ZS_Close - US_Stock_VXUS_adj_close
target_108,2,LME_ZS_Close - LME_PB_Close
target_109,2,LME_AH_Close - JPX_Gold_Standard_Futures_Close
target_110,2,JPX_Platinum_Standard_Futures_Close - LME_AH_Close
target_111,2,JPX_Gold_Standard_Futures_Close - LME_ZS_Close
target_112,2,JPX_Gold_Standard_Futures_Close - LME_CA_Close
target_113,2,JPX_Gold_Standard_Futures_Close - FX_AUDCAD
target_114,2,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF
target_115,2,FX_ZARGBP - JPX_Gold_Standard_Futures_Close
target_116,2,LME_ZS_Close - FX_USDJPY
target_117,2,LME_CA_Close - FX_ZAREUR
target_118,2,FX_EURCAD - LME_ZS_Close
target_119,2,LME_CA_Close - FX_CADCHF
target_120,2,LME_AH_Close - FX_AUDCHF
target_121,2,US_Stock_EOG_adj_close - JPX_Gold_Standard_Futures_Close
target_122,2,US_Stock_EWJ_adj_close - JPX_Gold_Standard_Futures_Close
target_123,2,JPX_Platinum_Standard_Futures_Close - US_Stock_XOM_adj_close
target_124,2,LME_ZS_Close - US_Stock_AMP_adj_close
target_125,2,FX_GBPNZD - LME_CA_Close
target_126,2,LME_AH_Close - US_Stock_WMB_adj_close
target_127,2,LME_ZS_Close - FX_EURCHF
target_128,2,JPX_Platinum_Standard_Futures_Close - US_Stock_EWY_adj_close
target_129,2,FX_ZARJPY - LME_PB_Close
target_130,2,JPX_Platinum_Standard_Futures_Close - US_Stock_BKR_adj_close
target_131,2,LME_ZS_Close - US_Stock_VGIT_adj_close
target_132,2,US_Stock_EWZ_adj_close - LME_ZS_Close
target_133,2,LME_PB_Close - FX_NOKCHF
target_134,2,US_Stock_JNK_adj_close - LME_ZS_Close
target_135,2,US_Stock_MS_adj_close - LME_PB_Close
target_136,2,LME_ZS_Close - US_Stock_TIP_adj_close
target_137,2,LME_AH_Close - US_Stock_EFA_adj_close
target_138,2,FX_EURUSD - JPX_Gold_Standard_Futures_Close
target_139,2,US_Stock_DVN_adj_close - LME_ZS_Close
target_140,2,JPX_Platinum_Standard_Futures_Close - US_Stock_CCJ_adj_close
target_141,2,LME_PB_Close - FX_NOKGBP
target_142,2,LME_ZS_Close - US_Stock_OXY_adj_close
target_143,2,LME_ZS_Close - US_Stock_STLD_adj_close
target_144,2,LME_PB_Close - US_Stock_HES_adj_close
target_145,2,FX_ZARCHF - JPX_Gold_Standard_Futures_Close
target_146,2,US_Stock_XLE_adj_close - LME_PB_Close
target_147,2,JPX_Platinum_Standard_Futures_Close - US_Stock_ALB_adj_close
target_148,2,US_Stock_IEMG_adj_close - JPX_Platinum_Standard_Futures_Close
target_149,2,JPX_Platinum_Standard_Futures_Close - US_Stock_KMI_adj_close
target_150,2,LME_AH_Close - US_Stock_WPM_adj_close
target_151,2,LME_CA_Close - US_Stock_VALE_adj_close
target_152,2,US_Stock_ENB_adj_close - LME_PB_Close
target_153,2,FX_EURJPY - JPX_Gold_Standard_Futures_Close
target_154,2,US_Stock_OKE_adj_close - JPX_Gold_Standard_Futures_Close
target_155,2,FX_CADUSD - LME_AH_Close
target_156,2,LME_CA_Close - US_Stock_RY_adj_close
target_157,2,US_Stock_TECK_adj_close - LME_CA_Close
target_158,2,LME_PB_Close - US_Stock_SLB_adj_close
target_159,2,US_Stock_SPYV_adj_close - JPX_Platinum_Standard_Futures_Close
target_160,2,LME_AH_Close - US_Stock_EEM_adj_close
target_161,2,LME_PB_Close - FX_AUDUSD
target_162,2,FX_NOKEUR - LME_PB_Close
target_163,2,LME_PB_Close - US_Stock_URA_adj_close
target_164,2,LME_AH_Close - US_Stock_VWO_adj_close
target_165,2,LME_CA_Close - US_Stock_TRGP_adj_close
target_166,2,US_Stock_IAU_adj_close - LME_ZS_Close
target_167,2,LME_ZS_Close - US_Stock_VTV_adj_close
target_168,2,US_Stock_IEF_adj_close - LME_PB_Close
target_169,2,LME_CA_Close - FX_NZDUSD
target_170,2,LME_PB_Close - FX_NOKJPY
target_171,2,JPX_Platinum_Standard_Futures_Close - FX_EURGBP
target_172,2,LME_ZS_Close - US_Stock_TD_adj_close
target_173,2,US_Stock_X_adj_close - LME_PB_Close
target_174,2,US_Stock_COP_adj_close - LME_PB_Close
target_175,2,JPX_Platinum_Standard_Futures_Close - US_Stock_ACWI_adj_close
target_176,2,LME_AH_Close - US_Stock_OIH_adj_close
target_177,2,FX_NOKUSD - LME_AH_Close
target_178,2,FX_CHFJPY - LME_ZS_Close
target_179,2,JPX_Platinum_Standard_Futures_Close - US_Stock_SLV_adj_close
target_180,2,US_Stock_CVX_adj_close - JPX_Platinum_Standard_Futures_Close
target_181,2,US_Stock_CVE_adj_close - LME_AH_Close
target_182,2,FX_AUDJPY - LME_ZS_Close
target_183,2,JPX_Gold_Standard_Futures_Close - US_Stock_NUE_adj_close
target_184,2,JPX_Gold_Standard_Futures_Close - US_Stock_VT_adj_close
target_185,2,US_Stock_NEM_adj_close - JPX_Gold_Standard_Futures_Close
target_186,2,US_Stock_XLB_adj_close - LME_ZS_Close
target_187,2,FX_CADJPY - JPX_Platinum_Standard_Futures_Close
target_188,2,FX_USDCHF - LME_PB_Close
target_189,2,FX_GBPJPY - LME_CA_Close
target_190,2,LME_AH_Close - US_Stock_VGK_adj_close
target_191,2,US_Stock_EWT_adj_close - LME_AH_Close
target_192,2,US_Stock_MPC_adj_close - LME_CA_Close
target_193,2,LME_PB_Close - US_Stock_CLF_adj_close
target_194,2,JPX_Platinum_Standard_Futures_Close - US_Stock_BNDX_adj_close
target_195,2,US_Stock_HL_adj_close - LME_AH_Close
target_196,2,FX_EURAUD - LME_AH_Close
target_197,2,JPX_Platinum_Standard_Futures_Close - FX_ZARUSD
target_198,2,LME_AH_Close - FX_GBPUSD
target_199,2,LME_CA_Close - US_Stock_LYB_adj_close
target_200,2,FX_NZDJPY - LME_CA_Close
target_201,2,US_Stock_SCCO_adj_close - LME_AH_Close
target_202,2,LME_ZS_Close - US_Stock_VYM_adj_close
target_203,2,LME_ZS_Close - US_Stock_CAT_adj_close
target_204,2,JPX_Platinum_Standard_Futures_Close - US_Stock_DE_adj_close
target_205,2,US_Stock_GLD_adj_close - LME_PB_Close
target_206,2,US_Stock_RIO_adj_close - LME_PB_Close
target_207,2,JPX_Gold_Standard_Futures_Close - US_Stock_RSP_adj_close
target_208,2,US_Stock_HAL_adj_close - LME_CA_Close
target_209,2,LME_PB_Close - US_Stock_FCX_adj_close
target_210,2,US_Stock_VEA_adj_close - JPX_Platinum_Standard_Futures_Close
target_211,2,FX_EURNZD - LME_PB_Close
target_212,3,FX_ZARUSD
target_213,3,LME_PB_Close - FX_ZARUSD
target_214,3,LME_CA_Close - JPX_Gold_Standard_Futures_Close
target_215,3,LME_PB_Close - JPX_Gold_Standard_Futures_Close
target_216,3,LME_AH_Close - JPX_Platinum_Standard_Futures_Close
target_217,3,JPX_Gold_Standard_Futures_Close - LME_AH_Close
target_218,3,LME_ZS_Close - LME_PB_Close
target_219,3,LME_ZS_Close - FX_NOKUSD
target_220,3,LME_AH_Close - US_Stock_BNDX_adj_close
target_221,3,FX_ZARCHF - JPX_Platinum_Standard_Futures_Close
target_222,3,JPX_Gold_Standard_Futures_Close - FX_ZARGBP
target_223,3,LME_CA_Close - FX_NZDJPY
target_224,3,US_Stock_OXY_adj_close - LME_AH_Close
target_225,3,US_Stock_XOM_adj_close - JPX_Gold_Standard_Futures_Close
target_226,3,LME_AH_Close - US_Stock_EWZ_adj_close
target_227,3,FX_EURAUD - LME_PB_Close
target_228,3,LME_ZS_Close - FX_GBPUSD
target_229,3,LME_CA_Close - FX_GBPJPY
target_230,3,LME_AH_Close - US_Stock_ALB_adj_close
target_231,3,LME_PB_Close - FX_USDJPY
target_232,3,JPX_Gold_Standard_Futures_Close - US_Stock_SPYV_adj_close
target_233,3,US_Stock_EWJ_adj_close - LME_ZS_Close
target_234,3,LME_ZS_Close - FX_NOKGBP
target_235,3,JPX_Platinum_Standard_Futures_Close - US_Stock_TRGP_adj_close
target_236,3,LME_PB_Close - FX_CHFJPY
target_237,3,LME_ZS_Close - US_Stock_WPM_adj_close
target_238,3,US_Stock_ENB_adj_close - JPX_Gold_Standard_Futures_Close
target_239,3,FX_AUDUSD - JPX_Platinum_Standard_Futures_Close
target_240,3,FX_NOKJPY - LME_PB_Close
target_241,3,LME_CA_Close - US_Stock_X_adj_close
target_242,3,LME_ZS_Close - FX_EURNZD
target_243,3,LME_PB_Close - US_Stock_VTV_adj_close
target_244,3,US_Stock_DVN_adj_close - LME_PB_Close
target_245,3,FX_GBPNZD - JPX_Platinum_Standard_Futures_Close
target_246,3,US_Stock_SCCO_adj_close - LME_AH_Close
target_247,3,JPX_Platinum_Standard_Futures_Close - US_Stock_CVE_adj_close
target_248,3,LME_AH_Close - US_Stock_NEM_adj_close
target_249,3,LME_ZS_Close - US_Stock_VALE_adj_close
target_250,3,US_Stock_VXUS_adj_close - LME_CA_Close
target_251,3,LME_CA_Close - FX_EURUSD
target_252,3,JPX_Gold_Standard_Futures_Close - US_Stock_COP_adj_close
target_253,3,LME_AH_Close - US_Stock_XLB_adj_close
target_254,3,FX_CADCHF - JPX_Platinum_Standard_Futures_Close
target_255,3,US_Stock_NUE_adj_close - LME_CA_Close
target_256,3,US_Stock_ACWI_adj_close - JPX_Platinum_Standard_Futures_Close
target_257,3,LME_CA_Close - US_Stock_CCJ_adj_close
target_258,3,US_Stock_EEM_adj_close - LME_PB_Close
target_259,3,LME_CA_Close - US_Stock_EWT_adj_close
target_260,3,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF
target_261,3,JPX_Platinum_Standard_Futures_Close - US_Stock_FCX_adj_close
target_262,3,US_Stock_JNK_adj_close - JPX_Platinum_Standard_Futures_Close
target_263,3,LME_CA_Close - US_Stock_OKE_adj_close
target_264,3,US_Stock_RSP_adj_close - LME_CA_Close
target_265,3,FX_CADUSD - LME_CA_Close
target_266,3,US_Stock_TECK_adj_close - LME_PB_Close
target_267,3,LME_AH_Close - US_Stock_CLF_adj_close
target_268,3,LME_PB_Close - FX_NOKEUR
target_269,3,JPX_Platinum_Standard_Futures_Close - US_Stock_EOG_adj_close
target_270,3,JPX_Gold_Standard_Futures_Close - US_Stock_TIP_adj_close
target_271,3,US_Stock_RY_adj_close - LME_CA_Close
target_272,3,LME_PB_Close - US_Stock_STLD_adj_close
target_273,3,LME_ZS_Close - US_Stock_IAU_adj_close
target_274,3,LME_CA_Close - US_Stock_VWO_adj_close
target_275,3,JPX_Platinum_Standard_Futures_Close - FX_CADJPY
target_276,3,JPX_Gold_Standard_Futures_Close - US_Stock_HL_adj_close
target_277,3,FX_AUDJPY - LME_PB_Close
target_278,3,US_Stock_MPC_adj_close - LME_ZS_Close
target_279,3,LME_PB_Close - US_Stock_VEA_adj_close
target_280,3,JPX_Gold_Standard_Futures_Close - FX_EURCAD
target_281,3,JPX_Gold_Standard_Futures_Close - FX_NOKCHF
target_282,3,US_Stock_DE_adj_close - LME_AH_Close
target_283,3,FX_ZAREUR - LME_ZS_Close
target_284,3,FX_ZARJPY - JPX_Gold_Standard_Futures_Close
target_285,3,US_Stock_IEMG_adj_close - JPX_Platinum_Standard_Futures_Close
target_286,3,US_Stock_XLE_adj_close - JPX_Gold_Standard_Futures_Close
target_287,3,LME_PB_Close - US_Stock_SLB_adj_close
target_288,3,JPX_Gold_Standard_Futures_Close - US_Stock_BKR_adj_close
target_289,3,LME_ZS_Close - US_Stock_GLD_adj_close
target_290,3,US_Stock_LYB_adj_close - JPX_Platinum_Standard_Futures_Close
target_291,3,LME_AH_Close - US_Stock_EFA_adj_close
target_292,3,LME_CA_Close - US_Stock_VYM_adj_close
target_293,3,LME_ZS_Close - US_Stock_KMI_adj_close
target_294,3,US_Stock_VGK_adj_close - LME_CA_Close
target_295,3,LME_CA_Close - FX_AUDCHF
target_296,3,LME_CA_Close - US_Stock_CAT_adj_close
target_297,3,US_Stock_AMP_adj_close - LME_ZS_Close
target_298,3,LME_ZS_Close - US_Stock_IEF_adj_close
target_299,3,LME_AH_Close - FX_EURJPY
target_300,3,LME_CA_Close - US_Stock_HAL_adj_close
target_301,3,JPX_Gold_Standard_Futures_Close - FX_EURCHF
target_302,3,JPX_Platinum_Standard_Futures_Close - US_Stock_URA_adj_close
target_303,3,JPX_Gold_Standard_Futures_Close - US_Stock_VT_adj_close
target_304,3,US_Stock_EWY_adj_close - LME_ZS_Close
target_305,3,US_Stock_CVX_adj_close - LME_CA_Close
target_306,3,LME_PB_Close - FX_NZDUSD
target_307,3,US_Stock_HES_adj_close - LME_PB_Close
target_308,3,FX_EURGBP - JPX_Platinum_Standard_Futures_Close
target_309,3,LME_PB_Close - US_Stock_VGIT_adj_close
target_310,3,FX_AUDCAD - JPX_Platinum_Standard_Futures_Close
target_311,3,US_Stock_TD_adj_close - LME_ZS_Close
target_312,3,JPX_Gold_Standard_Futures_Close - FX_USDCHF
target_313,3,US_Stock_MS_adj_close - LME_AH_Close
target_314,3,LME_ZS_Close - US_Stock_SLV_adj_close
target_315,3,LME_AH_Close - US_Stock_OIH_adj_close
target_316,3,US_Stock_RIO_adj_close - LME_PB_Close
target_317,3,JPX_Platinum_Standard_Futures_Close - US_Stock_WMB_adj_close
target_318,4,FX_NOKEUR
target_319,4,LME_AH_Close - FX_NOKEUR
target_320,4,JPX_Gold_Standard_Futures_Close - LME_ZS_Close
target_321,4,LME_AH_Close - LME_ZS_Close
target_322,4,LME_AH_Close - LME_PB_Close
target_323,4,LME_PB_Close - LME_CA_Close
target_324,4,LME_AH_Close - JPX_Platinum_Standard_Futures_Close
target_325,4,LME_PB_Close - US_Stock_ALB_adj_close
target_326,4,US_Stock_EWJ_adj_close - JPX_Gold_Standard_Futures_Close
target_327,4,LME_ZS_Close - US_Stock_EWZ_adj_close
target_328,4,JPX_Platinum_Standard_Futures_Close - US_Stock_EWY_adj_close
target_329,4,JPX_Platinum_Standard_Futures_Close - US_Stock_CLF_adj_close
target_330,4,LME_CA_Close - FX_ZARJPY
target_331,4,JPX_Platinum_Standard_Futures_Close - US_Stock_BKR_adj_close
target_332,4,US_Stock_VT_adj_close - LME_ZS_Close
target_333,4,LME_AH_Close - US_Stock_SCCO_adj_close
target_334,4,US_Stock_FCX_adj_close - LME_ZS_Close
target_335,4,US_Stock_TRGP_adj_close - LME_CA_Close
target_336,4,FX_EURAUD - LME_AH_Close
target_337,4,FX_CADUSD - LME_CA_Close
target_338,4,JPX_Gold_Standard_Futures_Close - US_Stock_MPC_adj_close
target_339,4,US_Stock_RSP_adj_close - LME_PB_Close
target_340,4,JPX_Platinum_Standard_Futures_Close - US_Stock_IAU_adj_close
target_341,4,JPX_Platinum_Standard_Futures_Close - US_Stock_VXUS_adj_close
target_342,4,LME_PB_Close - US_Stock_LYB_adj_close
target_343,4,US_Stock_DVN_adj_close - LME_ZS_Close
target_344,4,US_Stock_CVX_adj_close - LME_ZS_Close
target_345,4,FX_CADJPY - LME_PB_Close
target_346,4,US_Stock_ACWI_adj_close - JPX_Gold_Standard_Futures_Close
target_347,4,LME_CA_Close - US_Stock_BNDX_adj_close
target_348,4,FX_ZAREUR - JPX_Gold_Standard_Futures_Close
target_349,4,LME_AH_Close - US_Stock_VWO_adj_close
target_350,4,LME_ZS_Close - US_Stock_IEMG_adj_close
target_351,4,FX_EURGBP - JPX_Gold_Standard_Futures_Close
target_352,4,US_Stock_OXY_adj_close - LME_CA_Close
target_353,4,US_Stock_RIO_adj_close - LME_AH_Close
target_354,4,LME_AH_Close - US_Stock_XLE_adj_close
target_355,4,LME_ZS_Close - US_Stock_AMP_adj_close
target_356,4,JPX_Gold_Standard_Futures_Close - US_Stock_XOM_adj_close
target_357,4,LME_ZS_Close - US_Stock_HAL_adj_close
target_358,4,LME_CA_Close - US_Stock_VGIT_adj_close
target_359,4,LME_ZS_Close - US_Stock_JNK_adj_close
target_360,4,LME_AH_Close - US_Stock_VTV_adj_close
target_361,4,LME_PB_Close - US_Stock_TECK_adj_close
target_362,4,US_Stock_NUE_adj_close - JPX_Gold_Standard_Futures_Close
target_363,4,FX_AUDUSD - JPX_Platinum_Standard_Futures_Close
target_364,4,US_Stock_URA_adj_close - JPX_Platinum_Standard_Futures_Close
target_365,4,LME_ZS_Close - US_Stock_DE_adj_close
target_366,4,US_Stock_EOG_adj_close - LME_AH_Close
target_367,4,FX_GBPUSD - LME_PB_Close
target_368,4,FX_GBPJPY - JPX_Platinum_Standard_Futures_Close
target_369,4,LME_CA_Close - US_Stock_WPM_adj_close
target_370,4,JPX_Platinum_Standard_Futures_Close - US_Stock_TD_adj_close
target_371,4,FX_NZDJPY - JPX_Platinum_Standard_Futures_Close
target_372,4,FX_AUDCHF - JPX_Platinum_Standard_Futures_Close
target_373,4,US_Stock_SLB_adj_close - LME_CA_Close
target_374,4,LME_AH_Close - FX_EURNZD
target_375,4,JPX_Platinum_Standard_Futures_Close - FX_CHFJPY
target_376,4,US_Stock_TIP_adj_close - LME_PB_Close
target_377,4,US_Stock_XLB_adj_close - LME_CA_Close
target_378,4,JPX_Gold_Standard_Futures_Close - US_Stock_NEM_adj_close
target_379,4,US_Stock_EEM_adj_close - LME_AH_Close
target_380,4,US_Stock_SPYV_adj_close - LME_AH_Close
target_381,4,FX_NZDCHF - LME_PB_Close
target_382,4,JPX_Gold_Standard_Futures_Close - FX_AUDCAD
target_383,4,FX_CADCHF - LME_CA_Close
target_384,4,LME_CA_Close - US_Stock_STLD_adj_close
target_385,4,JPX_Platinum_Standard_Futures_Close - US_Stock_ENB_adj_close
target_386,4,LME_PB_Close - FX_AUDJPY
target_387,4,US_Stock_COP_adj_close - JPX_Platinum_Standard_Futures_Close
target_388,4,LME_ZS_Close - US_Stock_VEA_adj_close
target_389,4,US_Stock_VGK_adj_close - LME_CA_Close
target_390,4,JPX_Gold_Standard_Futures_Close - US_Stock_WMB_adj_close
target_391,4,LME_AH_Close - US_Stock_CAT_adj_close
target_392,4,FX_EURCHF - LME_CA_Close
target_393,4,US_Stock_HL_adj_close - LME_AH_Close
target_394,4,US_Stock_OIH_adj_close - LME_CA_Close
target_395,4,LME_CA_Close - US_Stock_SLV_adj_close
target_396,4,LME_AH_Close - US_Stock_OKE_adj_close
target_397,4,US_Stock_KMI_adj_close - LME_CA_Close
target_398,4,US_Stock_VYM_adj_close - JPX_Gold_Standard_Futures_Close
target_399,4,LME_CA_Close - US_Stock_HES_adj_close
target_400,4,FX_NOKJPY - LME_CA_Close
target_401,4,LME_ZS_Close - US_Stock_EFA_adj_close
target_402,4,FX_EURJPY - JPX_Platinum_Standard_Futures_Close
target_403,4,US_Stock_VALE_adj_close - JPX_Gold_Standard_Futures_Close
target_404,4,JPX_Gold_Standard_Futures_Close - US_Stock_X_adj_close
target_405,4,FX_ZARUSD - LME_AH_Close
target_406,4,FX_USDCHF - LME_PB_Close
target_407,4,FX_USDJPY - JPX_Platinum_Standard_Futures_Close
target_408,4,LME_AH_Close - FX_ZARCHF
target_409,4,LME_PB_Close - FX_ZARGBP
target_410,4,FX_EURUSD - LME_AH_Close
target_411,4,LME_AH_Close - US_Stock_CVE_adj_close
target_412,4,US_Stock_MS_adj_close - LME_PB_Close
target_413,4,FX_GBPNZD - JPX_Gold_Standard_Futures_Close
target_414,4,JPX_Gold_Standard_Futures_Close - US_Stock_IEF_adj_close
target_415,4,FX_NZDUSD - LME_PB_Close
target_416,4,LME_CA_Close - US_Stock_GLD_adj_close
target_417,4,JPX_Platinum_Standard_Futures_Close - FX_EURCAD
target_418,4,FX_NOKGBP - LME_ZS_Close
target_419,4,FX_NOKUSD - LME_AH_Close
target_420,4,JPX_Gold_Standard_Futures_Close - US_Stock_RY_adj_close
target_421,4,US_Stock_EWT_adj_close - LME_AH_Close
target_422,4,JPX_Platinum_Standard_Futures_Close - FX_NOKCHF
target_423,4,LME_CA_Close - US_Stock_CCJ_adj_close
